Aizawl South-iii,20,Mizo National Front,2088,Indian National Congress,667
Champhai South,24,Mizo National Front,1049,Indian National Congress,1650
Hachhek,1,Indian National Congress,366,Indian National Congress,2333
Hrangturzo,28,Mizo National Front,757,Indian National Congress,1628
Lawngtlai East,38,Mizo National Front,944,Indian National Congress,273
Lawngtlai West,37,Indian National Congress,795,Indian National Congress,1535
Lengteng,21,Mizo National Front,1772,Indian National Congress,167
Lunglei South,33,Mizo National Front,2441,Indian National Congress,450
Palak,40,Indian National Congress,844,Indian National Congress,1823
Serlui,6,Mizo National Front,927,Indian National Congress,1406
Tawi,9,Mizo National Front,184,Indian National Congress,947
Thorang,34,Indian National Congress,1240,Indian National Congress,2504
