Alwar Rural,65,Indian National Congress,26477,Bharatiya Janata Party,26799
Alwar Urban,66,Bharatiya Janata Party,22008,Bharatiya Janata Party,62229
Anupgarh,6,Bharatiya Janata Party,21124,Bharatiya Janata Party,11146
Asind,177,Bharatiya Janata Party,154,Bharatiya Janata Party,27309
Aspur,159,Bharatiya Janata Party,5330,Bharatiya Janata Party,10504
Bagru,56,Indian National Congress,5343,Bharatiya Janata Party,46356
Bali,120,Bharatiya Janata Party,28187,Bharatiya Janata Party,19588
Banswara,164,Indian National Congress,18366,Bharatiya Janata Party,30061
Baran-atru,195,Indian National Congress,12248,Bharatiya Janata Party,20600
Bari sadri,171,Bharatiya Janata Party,8810,Bharatiya Janata Party,17261
Baseri,77,Indian National Congress,17556,Bharatiya Janata Party,5748
Bayana,76,Indian National Congress,6695,Bharatiya Janata Party,5811
Baytu,136,Indian National Congress,13803,Bharatiya Janata Party,13974
Beawar,103,Bharatiya Janata Party,4502,Bharatiya Janata Party,42909
Begun,168,Indian National Congress,1661,Bharatiya Janata Party,21298
Bharatpur,73,Rashtriya Lok Dal,15710,Bharatiya Janata Party,22694
Bhim,173,Indian National Congress,3714,Bharatiya Janata Party,18451
Bhinmal,143,Bharatiya Janata Party,9646,Bharatiya Janata Party,40191
Bhopalgarh,126,Rashtriya Loktantrik Party,4962,Bharatiya Janata Party,35810
Bikaner West,13,Indian National Congress,6190,Bharatiya Janata Party,6424
