Achampet,82,Telangana Rashtra Samithi,9114
Adilabad,7,Telangana Rashtra Samithi,26606
Alair,97,Telangana Rashtra Samithi,33086
Alampur,80,Telangana Rashtra Samithi,44679
Amberpet,59,Telangana Rashtra Samithi,1016
Andole,36,Telangana Rashtra Samithi,16465
Armur,11,Telangana Rashtra Samithi,28795
Asifabad,5,Indian National Congress,171
Aswaraopeta,118,Telugu Desam,13117
Bahadurpura,69,All India Majlis-E-Ittehadul Muslimeen,82518
Balkonda,19,Telangana Rashtra Samithi,32408
Banswada,14,Telangana Rashtra Samithi,18485
Bellampalli,3,Telangana Rashtra Samithi,11276
Bhadrachalam,119,Indian National Congress,11785
Bhongir,94,Telangana Rashtra Samithi,24063
Bhupalpalle,108,Indian National Congress,15635
Boath,8,Telangana Rashtra Samithi,6486
Bodhan,12,Telangana Rashtra Samithi,8101
Chandrayangutta,67,All India Majlis-E-Ittehadul Muslimeen,80264
Charminar,66,All India Majlis-E-Ittehadul Muslimeen,32586
Chennur,2,Telangana Rashtra Samithi,28132
Chevella,53,Telangana Rashtra Samithi,33552
Choppadandi,27,Telangana Rashtra Samithi,42127
Devarakonda,86,Telangana Rashtra Samithi,38848
Devarkadra,76,Telangana Rashtra Samithi,35248
Dharmapuri,22,Telangana Rashtra Samithi,441
Dornakal,101,Telangana Rashtra Samithi,17381
Dubbak,41,Telangana Rashtra Samithi,62500
Gadwal,79,Telangana Rashtra Samithi,28260
Gajwel,42,Telangana Rashtra Samithi,58290
Ghanpur (Station),99,Telangana Rashtra Samithi,35790
Goshamahal,65,Bharatiya Janata Party,17734
Husnabad,32,Telangana Rashtra Samithi,70530
Huzurabad,31,Telangana Rashtra Samithi,43719
Huzurnagar,89,Indian National Congress,7466
Ibrahimpatnam,48,Telangana Rashtra Samithi,376
Jadcherla,75,Telangana Rashtra Samithi,45082
Jagtial,21,Telangana Rashtra Samithi,61185
Jangoan,98,Telangana Rashtra Samithi,29568
Jubilee Hills,61,Telangana Rashtra Samithi,16004
Jukkal,13,Telangana Rashtra Samithi,35625
Kalwakurthy,83,Telangana Rashtra Samithi,3447
Kamareddy,16,Telangana Rashtra Samithi,4557
Karimnagar,26,Telangana Rashtra Samithi,14974
Karwan,64,All India Majlis-E-Ittehadul Muslimeen,50169
Khairatabad,60,Telangana Rashtra Samithi,28402
Khammam,112,Telangana Rashtra Samithi,10991
Khanapur,6,Telangana Rashtra Samithi,20710
Kodad,90,Telangana Rashtra Samithi,756
Kodangal,72,Telangana Rashtra Samithi,9319
